Украсть состояние здоровья у другого игрока,steal,any,health
Раскрыть любую характеристику любого игрока,reveal,any,any
Украсть хобби у другого игрока,steal,any,hobby
Около вашего бункера находится склад с оружием,info,no_target,no_value
Поменяйтесь с игроком багажами,trade,any,item
Ваш бункер находится около пресного озера,info,no_target,no_value
Ваш бункер находится под парком аттракционов,info,no_target,no_value
Ваш бункер находится в лесу,info,no_target,no_value
+1 слот в бункере,increase,no_target,bunker_place
-1 слот в бункере,decrease,no_target,bunker_place
Защита на 1 ход от выбывания,no_key,no_target,no_value
Украдите багаж у другого игрока,steal,any,item
Вы аннулируете все голоса за себя,no_key,no_target,no_value
Ваш бункер находится около бункера который настроен негативно,info,no_target,no_value
Изменить свою профессию на любую,change,self,profession
Аннулировать любой 1 голос за себя,no_key,no_target,no_value
Вылечить любого игрока от любых недугов,heal,any,health
Вылечи свое здоровье,heal,self,health
Возле вас находится бункер с двумя мужчинами-химиками(Полностью здоровые/возраст: 25-45 лет),info,no_target,no_value
Вылечи свою фобию,heal,self,phobia
Все игроки меняются картами "профессия" по часовой стрелке,no_key,no_target,no_value
Возле вас находится бункер с двумя женщинами-химиками(Полностью здоровые/возраст: 25-45 лет),info,no_target,no_value
Рядом с вами второй бункер и он настроен недоброжелательно,info,no_target,no_value
В 20 метрах от вашего бункера сохранился погреб с вином,info,no_target,no_value
В 30 метрах от вашего бункера склад с оружием,info,no_target,no_value
Поменяйся любой характеристикой с любым игроком,trade,any,any
Поменяйся человеческой чертой с любым игроком,trade,any,personality
Поменяйся любой характеристикой с игроком справа,no_key,no_target,no_value
Поменяйся всеми голосами с другим игроком(с другим игроком у которого тоже есть голоса),no_key,no_target,no_value
Поменяй ориентацию любого игрока,change,any,gender
Поменяй свою ориентацию,change,self,gender
Аннулирование всех профессий,delete,all,professions
Раскрыть здоровье любого игрока,reveal,any,health
Раскрыть биологические характеристики любого игрока,reveal,any,bio
Раскрыть характер любого игрока,reveal,any,personality
Раскрыть хобби любого игрока,reveal,any,hobby
Раскрыть фобию любого игрока,reveal,any,phobia
Раскрыть багаж любого игрока,reveal,any,item
Раскрыть доп. информацию любого игрока,reveal,any,add_info
Отмените карту действия любого игрока,no_key,no_target,no_value
Если Вас выгнали - уменьшите количество мест в бункере на 1,no_key,no_target,no_value
Своруйте эффект карты действия любого игрока,no_key,no_target,no_value
Перегенерируй свою профессию,generate_cart,self,profession,True
Перегенерируй свой пол,generate_cart,self,gender,True
Перегенерируй свой возраст,generate_int,self,age,True
Перегенерируй свою ориентацию,generate_cart,self,orientation,True
Перегенерируй свое здоровье,generate_cart,self,health,True
Перегенерируй свой характер,generate_cart,self,personality,True
Перегенерируй свою фобию,generate_cart,self,phobia,True
Перегенерируй свое хобби,generate_cart,self,hobby,True
Перегенерируй свою доп. информацию,generate_cart,self,add_info,True
Перегенерируй свой багаж,generate_cart,self,item,True
Перегенерируй количество припасов,generate_int,self,bunker_supply,True
Перегенерируй эпидемию,generate_bunker_cart,self,epidemia,True
Перегенерируй тип бункера,generate_bunker_cart,self,bunker_type,True
